itemId,name,pricePicked,collectible
107468946850133,belly button,3,
78361465087388, .,5,
7694177807,CROSS,2,
15397877327,Cross Necklace,2,
1705783,Halloween Tails,0,
1289815,Rivalry,0,
1036727,Erik Is My Hero,0,
27484450,Headphones,2,
16009406988,dark-blood-ketchup-gothic-y2k-hands,4,
14042938496,Titan TV Textura,2,
16253146603,i love my brother,1000,
13241272595,Png,1000,
119749391161060,"Robot
",5,
14648563936,bingus!,3,
18253180220,My Traffic cone,15,
18253108934,Pet birdy,5,
14281356977,RobloxScreenShot20230523_002019682,6,
17076470953,Bugatt Divo,2,
16130476738,thanks!,5,
14473313084,i love sharks!!,5,
14473388564,EMO MENNNN,10,
12494457497,smile,5,
13380304547,Catalog Avatar Creator Star,2,
1028595,Bloxxer,0,
17269521066,[⏳] Matte Steel Horns Of Conquest,90,
17405570916,♡ : black paw clip (fav),90,
15920848733,Black Poch Puppy Dog Ears,90,
14440043838,꒰ ୨୧ ꒱ bows for bangs pink ,90,
15697459,Cactrot,100,
4381828509,Junkbot - Hat,0,
1772336109,Down to Earth Hair,0,
48474313,Red Roblox Cap,0,
607700713,Roblox Logo Visor,0,
617605556,Medieval Hood of Mystery,0,
2646473721,Roblox Visor,0,
3033908130,International Fedora - France,0,
3033910400,International Fedora - Germany,0,
3398308134,International Fedora - Canada,0,
3403874988,The Encierro Cap,0,
3409612660,International Fedora - USA,0,
3438342658,International Fedora - Argentina,0,
3443038622,International Fedora - Peru,0,
3499972183,International Fedora - Colombia,0,
3656493304,International Fedora - South Korea,0,
3662265036,International Fedora - Indonesia,0,
3822880197,International Fedora - Ukraine,0,
3940375351,International Fedora - Philippines,0,
3992084515,International Fedora - Vietnam,0,
4047554959,International Fedora - Brazil,0,
4094878701,International Fedora - Mexico,0,
4154538250,International Fedora - Chile,0,
4246228452,International Fedora - Spain,0,
4324158403,International Fedora - Japan,0,
4381707497,International Fedora - Turkey,0,
4391384843,International Fedora - Russia,0,
4489239608,International Fedora - United Kingdom,0,
4584029953,International Fedora - Poland,0,
4584042059,International Fedora - Netherlands,0,
4622081834,International Fedora - China,0,
4645400486,International Fedora - Australia,0,
4645404679,International Fedora - Thailand,0,
4819740796,Robox,0,
15879832307,Red Praetorian Hood,90,
17330318143,SB Leopard Print Headscarf,90,
74108785680678,Oversized Grunge Fur Hood (Black),90,
16957090879,Pro Shiesty Pulled Down,90,
12262003814,Grey Hoodie,90,
15821749930,Pro Shiesty,90,
16687774345,Front Head Bandana Black,90,
18473155384,Black Puffer Hood w/ Beanie,90,
6807837252,Backwards Royal Blue,90,
17563335036,Multi-Diamond Square Stud Earrings,90,
18516457419,Blue Paisley Rapper Bandana ,90,
17564588126,Black Shiny Puffer Fur Hood,90,
6774189421,Backwards  94,90,
126442429226538,Cloudy Ice Crown,0,
122067820905006,Balaclava Fisher Hat Black,90,
104117401833251,Winter Skies Beanie,0,
2493590711,Knights of Redcliff: Paladin - Helmet,0,
607702162,Roblox Baseball Cap,0,
18948112735,🌸Y2K Kitty Hat w Pink Realtree Camo Head Scarf🌸,90,
18233063806,Classic Red Vintage Cap,90,
91650095765236,Cyan Evil Pumpkin Head,90,
